"id" "sex" "dead" "cens" "xli" "xti" "loc" "potEm" "im" "unsex" "outMigr"
1 "m" 1 0 13.97 1.21 "s" 0 1 0 0
2 "m" 1 0 7.17 1.21 "s" 0 1 0 0
3 "m" 1 0 5.77 2.97 "s" 0 1 0 0
4 "m" 1 0 7.66 7.43 "s" 0 1 0 0
5 "f" 1 0 12.24 0 "s" 0 0 0 0
6 "f" 1 0 6.02 0 "s" 0 0 0 0
7 "f" 1 0 12.93 0 "s" 0 0 0 0
8 "m" 1 0 8.99 0 "s" 0 0 0 0
9 "f" 1 0 10.67 0 "s" 0 0 0 0
10 "f" 1 0 10.84 0 "s" 0 0 0 0
11 "f" 1 0 12.08 0 "s" 0 0 0 0
12 "f" 1 0 7.32 0 "s" 0 0 0 0
13 "f" 1 0 5.22 0 "s" 0 0 0 0
14 "f" 1 0 0.72 0 "s" 0 0 0 0
15 "m" 1 0 3.53 0 "s" 0 0 0 1
16 "f" 1 0 2.42 0 "s" 0 0 0 0
17 "m" 1 0 3.27 0 "s" 0 0 0 1
18 "f" 1 0 3.04 0 "s" 0 0 0 0
19 "m" 1 0 1.66 0 "s" 0 0 0 0
20 "f" 1 0 1.56 0 "s" 0 0 0 0
21 "f" 1 0 11.13 0 "s" 0 0 0 0
22 "f" 1 0 7.15 0 "s" 0 0 0 0
23 "f" 1 0 2.21 0 "s" 0 0 0 0
24 "f" 1 0 13.96 0 "s" 0 0 0 0
25 "u" 1 0 0.04 0 "s" 0 0 1 0
26 "f" 1 0 0.83 0 "s" 0 0 0 0
27 "m" 1 0 0.82 0 "s" 0 0 0 0
28 "u" 1 0 0.14 0 "s" 0 0 1 0
29 "f" 1 0 12.38 5.75 "s" 0 0 0 0
30 "f" 1 0 8.4 3.75 "s" 0 0 0 0
31 "f" 1 0 4.67 0 "s" 0 0 0 0
32 "f" 1 0 17.77 0 "s" 0 0 0 0
33 "f" 1 0 0.28 0 "s" 0 0 0 0
34 "f" 1 0 10.86 1.75 "s" 0 0 0 0
35 "f" 1 0 12.66 0.3 "s" 0 0 0 0
36 "f" 1 0 7.2 0 "s" 0 0 0 0
37 "m" 1 0 12.44 6.36 "s" 0 1 0 0
38 "f" 1 0 16.19 1.04 "s" 0 0 0 0
39 "m" 1 0 9.68 4.71 "s" 0 1 0 0
40 "f" 1 0 13.37 0 "s" 0 0 0 0
41 "f" 1 0 12.08 0 "s" 0 0 0 0
42 "f" 1 0 8.46 0 "s" 0 0 0 0
43 "m" 1 0 0.5 0 "s" 0 0 0 0
44 "f" 1 0 0.5 0 "s" 0 0 0 0
45 "f" 1 0 6.73 0 "s" 0 0 0 0
46 "m" 1 0 8.13 3.95 "s" 0 1 0 0
47 "f" 1 0 0.99 0 "s" 0 0 0 0
48 "f" 0 0 12.01 0 "s" 0 0 0 0
49 "f" 0 0 0.16 0 "s" 0 0 0 0
50 "f" 0 0 13.34 0 "s" 0 0 0 0
51 "f" 0 0 7.93 0 "s" 0 0 0 0
52 "f" 0 0 0.14 0 "s" 0 0 0 0
53 "f" 0 0 7.25 0 "s" 0 0 0 0
54 "f" 0 0 17 0 "s" 0 0 0 0
55 "f" 0 0 1.39 0 "s" 0 0 0 0
56 "m" 0 0 6.96 0 "s" 1 0 0 0
57 "f" 0 0 11.12 0 "s" 0 0 0 0
58 "f" 0 0 11.18 0 "s" 0 0 0 0
59 "f" 0 0 9.88 0 "s" 0 0 0 0
60 "f" 0 0 10.63 0 "s" 0 0 0 0
61 "m" 0 0 1.66 0 "s" 1 0 0 0
62 "m" 0 0 1.36 0 "s" 1 0 0 0
63 "f" 0 0 9.33 0 "s" 0 0 0 0
64 "f" 0 0 13.28 0 "s" 0 0 0 0
65 "f" 0 0 14.46 0 "s" 0 0 0 0
66 "m" 0 0 0.97 0 "s" 1 0 0 0
67 "f" 0 0 14.51 0 "s" 0 0 0 0
68 "m" 0 0 0.73 0 "s" 1 0 0 0
69 "m" 0 0 0.4 0 "s" 1 0 0 0
70 "f" 0 0 0.4 0 "s" 0 0 0 0
71 "f" 0 0 0.4 0 "s" 0 0 0 0
72 "f" 0 0 0.74 0 "s" 0 0 0 0
73 "m" 0 0 1.3 0 "s" 1 0 0 0
74 "m" 0 0 1.3 0 "s" 1 0 0 0
75 "f" 0 0 14.49 0 "s" 0 0 0 0
76 "m" 0 0 9.09 0 "s" 1 0 0 0
77 "f" 0 0 12.41 0 "s" 0 0 0 0
78 "f" 0 0 14.28 0 "s" 0 0 0 0
79 "f" 0 0 14.44 0 "s" 0 0 0 0
80 "m" 0 0 0.86 0 "s" 1 0 0 0
81 "f" 0 0 12.04 0 "s" 0 0 0 0
82 "f" 0 0 1.61 0 "s" 0 0 0 0
83 "f" 0 0 8.49 0 "s" 0 0 0 0
84 "m" 0 0 1.48 0 "s" 1 0 0 0
85 "f" 0 0 10.91 0 "s" 0 0 0 0
86 "f" 0 0 16.01 0 "s" 0 0 0 0
87 "f" 0 0 12.17 0 "s" 0 0 0 0
88 "m" 0 0 0.7 0 "s" 1 0 0 0
89 "f" 0 0 5.05 0 "s" 0 0 0 0
90 "f" 0 0 0.48 0 "s" 0 0 0 0
91 "f" 0 0 16.31 0 "s" 0 0 0 0
92 "f" 0 0 12.81 0 "s" 0 0 0 0
93 "f" 0 0 0.48 0 "s" 0 0 0 0
94 "f" 0 0 9.56 0 "s" 0 0 0 0
95 "u" 0 0 0.11 0 "s" 0 0 1 0
96 "m" 0 0 4.93 0 "s" 1 0 0 0
97 "m" 0 0 1.31 0 "s" 1 0 0 0
98 "m" 0 0 1.71 0 "s" 1 0 0 0
99 "m" 0 0 12.02 0 "s" 1 0 0 0
100 "f" 0 0 2.06 0 "s" 0 0 0 0
101 "f" 0 0 12.78 0 "s" 0 0 0 0
102 "f" 0 0 5.38 0 "s" 0 0 0 0
103 "f" 0 0 5.25 0 "s" 0 0 0 0
104 "u" 0 0 0.01 0 "s" 0 0 1 0
105 "u" 0 0 0.02 0 "s" 0 0 1 0
106 "m" 0 0 0.38 0 "s" 1 0 0 0
107 "f" 0 0 8.07 0 "s" 0 0 0 0
108 "f" 0 0 0.29 0 "s" 0 0 0 0
109 "f" 0 0 0.54 0 "s" 0 0 0 0
110 "f" 0 0 12.56 0 "s" 0 0 0 0
111 "f" 0 0 12.78 0 "s" 0 0 0 0
112 "m" 0 0 1.05 0 "s" 1 0 0 0
113 "m" 0 0 10.89 0 "s" 1 0 0 0
114 "f" 0 0 7.94 0 "s" 0 0 0 0
115 "f" 0 0 12.9 0 "s" 0 0 0 0
116 "f" 0 0 0.06 0 "s" 0 0 0 0
117 "m" 0 0 0.58 0 "s" 1 0 0 0
118 "f" 0 0 13.64 0 "s" 0 0 0 0
119 "f" 0 0 4.95 0 "s" 0 0 0 0
120 "f" 0 0 1.29 0 "s" 0 0 0 0
121 "f" 0 0 2.05 0 "s" 0 0 0 0
122 "m" 0 0 5.67 0 "s" 1 0 0 0
123 "m" 0 0 11.63 0 "s" 1 0 0 0
124 "f" 0 0 11.39 0 "s" 0 0 0 0
125 "f" 0 0 9.55 0 "s" 0 0 0 0
126 "f" 0 0 7.26 0 "s" 0 0 0 0
127 "f" 0 0 7.2 0 "s" 0 0 0 0
128 "m" 0 0 9.67 0 "s" 1 0 0 0
129 "f" 0 0 10.17 0 "s" 0 0 0 0
130 "m" 0 0 1.75 0 "s" 1 0 0 0
131 "f" 1 0 0.63 0 "s" 0 0 0 0
132 "f" 1 0 0.63 0 "s" 0 0 0 0
133 "f" 1 0 0.19 0 "s" 0 0 0 0
134 "f" 1 0 0.19 0 "s" 0 0 0 0
135 "f" 1 0 0.19 0 "s" 0 0 0 0
136 "m" 1 0 1.05 0 "s" 0 0 0 1
137 "m" 1 0 1.05 0 "s" 0 0 0 1
138 "m" 1 0 0.82 0 "s" 0 0 0 0
139 "m" 1 0 2.13 0 "s" 0 0 0 1
140 "f" 1 0 8.68 0 "s" 0 0 0 0
141 "f" 1 0 7.53 0 "s" 0 0 0 0
142 "f" 1 0 15.87 0 "s" 0 0 0 0
143 "f" 1 0 9.34 0 "s" 0 0 0 0
144 "m" 1 0 0.02 0 "s" 0 0 0 0
145 "f" 1 0 0.02 0 "s" 0 0 0 0
146 "f" 1 0 9.34 4.75 "s" 0 0 0 0
147 "m" 1 0 11.43 0 "s" 0 0 0 1
148 "m" 1 0 12.64 7 "s" 0 1 0 1
149 "f" 1 0 4.03 0 "s" 0 0 0 0
150 "f" 1 0 6.95 0 "s" 0 0 0 0
151 "f" 1 0 8.21 0 "s" 0 0 0 0
152 "f" 1 0 4.42 0 "s" 0 0 0 0
